TYPE,TEXTUREID,X,Y,NAME
Room,graphics\Catacombs.png,0,0,room
RoomFloor,graphics\CellarFloor.png,0,0,roomfloor
mapObj,,-277.999969,-138.999985,rock
mapObj,,249.999985,-136.000000,rock
mapObj,,-270.999969,104.999985,rock
mapObj,,262.000000,104.000000,rock
mapObj,,-22.000013,-39.999996,rock
mapObj,,151.000015,-83.000000,rock
mapObj,,-124.999992,-35.000008,rock
mapObj,,-169.999969,-31.000000,rock
mapObj,,-76.999985,-35.000008,rock
mapObj,,154.999969,-34.000008,rock
mapObj,,21.000027,-34.000008,rock
mapObj,,72.000023,-33.000004,rock
mapObj,,110.000008,-34.000008,rock
mapObj,,-177.999985,8.000016,rock
mapObj,,-180.999985,46.000011,rock
mapObj,,152.000000,-126.000008,rock
mapObj,,-39.000004,-49.999996,poop
monster,,-168.999985,-146.000000,dinga
monster,,148.999985,-126.000008,dinga
monster,,-169.999969,108.999992,dinga
monster,,160.000015,108.999992,dinga
monster,,-27.000008,-98.999992,dinga
monster,,-27.999996,31.999981,dinga
monster,,41.000008,48.999996,dip
monster,,-124.999992,39.999996,dip
monster,,50.000008,-87.000008,dip
monster,,-97.999985,-83.000000,dip
monster,,19.999979,-106.000008,dip
monster,,82.000015,39.000015,dip
monster,,-39.999989,82.999977,dip
monster,,-71.000008,22.999985,dip
monster,,128.000015,37.999992,dip
